trace,count
1 75 36 3,4
1 2 27 80 3,4
11 12 19 20 35 3,4
11 12 22 25 3,4
1 2 23 79 3,4
1 75 73 3,4
1 6 17 54 3,4
11 12 13 14 43 3,4
11 12 22 14 43 3,4
11 12 16 27 80 3,4
11 12 19 27 43 3,4
11 12 19 27 34 3,4
11 12 16 14 40 3,4
1 2 23 66 3,4
11 12 19 27 28 3,4
11 12 16 17 15 3,4
11 12 13 17 21 3,4
1 6 17 59 3,4
1 2 27 4 3,4
11 12 13 14 42 3,4
1 6 23 38 3,4
1 6 23 4 3,4
11 12 16 27 30 3,4
11 12 13 27 40 3,4
1 7 60 3,4
1 7 66 3,4
1 6 23 5 3,4
1 2 27 36 3,4
11 12 16 27 21 3,4
11 12 13 27 39 3,4
11 12 19 14 24 3,4
1 2 27 41 3,4
11 12 16 17 18 3,4
1 7 27 59 3,4
11 12 19 48 3,4
1 2 27 5 3,4
1 7 27 5 3,4
11 12 22 23 43 3,4
11 12 16 17 30 3,4
1 2 27 54 3,4
1 9 77 3,4
11 12 13 17 15 3,4
11 12 16 17 21 3,4
11 12 13 29 3,4
1 2 14 25 3,4
11 12 22 29 3,4
11 12 13 27 21 3,4
11 12 22 73 3,4
1 76 58 3,4
11 12 13 46 3,4
11 12 13 32 3,4
11 12 13 23 28 3,4
11 12 19 18 3,4
11 12 22 20 24 3,4
1 2 23 4 3,4
1 76 68 3,4
11 12 22 17 30 3,4
1 6 27 36 3,4
11 12 19 17 45 3,4
11 12 22 17 28 3,4
11 12 13 69 3,4
11 12 16 53 3,4
11 12 13 61 3,4
1 6 14 56 3,4
11 12 22 17 15 3,4
1 2 23 52 3,4
11 12 19 23 30 3,4
1 76 55 3,4
1 7 17 4 3,4
11 12 13 37 3,4
1 2 23 59 3,4
11 12 13 53 3,4
1 2 14 8 3,4
11 12 13 50 3,4
11 12 19 44 3,3
1 6 20 26 3,3
11 12 22 61 3,3
11 12 19 23 25 3,3
11 12 13 41 3,3
1 2 17 18 3,3
11 12 22 27 62 3,3
11 12 19 41 3,3
1 2 27 53 3,3
11 12 16 17 34 3,3
11 12 22 62 3,3
11 12 13,3
11 12 19 51 3,3
11 12 13 14 30 3,3
11 12 19 20 40 3,3
11 12 19 20 43 3,3
11 12 13 5 3,3
11 12 19 20 30 3,3
1 9 14 77 3,3
11 12 22 23 21 3,3
11 12 22 54 3,3
11 12 22 23 24 3,3
11 12 22 23 28 3,3
11 12 22 55 3,3
11 12 16 17 43 3,3
1 2 17 36 3,3
11 12 13 55 3,3
11 12 13 14 21 3,3
11 12 13 56 3,3
11 12 19 58 3,3
11 12 16 17 39 3,3
11 12 13 14 15 3,3
1 75 14 64 3,3
1 2 27 57 3,3
11 12 19 54 3,3
11 12 19 20 24 3,3
1 2 14 81 3,3
11 12 16 14 30 3,3
11 12 19 23 28 3,3
11 12 19 27 46 3,3
1 6 17 10 3,3
1 2 17 82 3,3
1 75 77 3,3
1 6 14 82 3,3
11 12 13 27 56 3,3
11 12 16 14 24 3,3
1 6 14 78 3,3
1 9 23 10 3,3
11 12 16 14 46 3,3
11 12 19 14 77 3,3
1 2 23 18 3,3
1 2 27 58 3,3
11 12 19 27 39 3,3
11 12 22 27 21 3,3
11 12 19 27 30 3,3
11 12 19 14 81 3,3
1 76 29 3,3
1 9 23 5 3,3
1 76 38 3,3
1 76 47 3,3
1 76 5 3,3
1 76 52 3,3
1 6 17 18 3,3
11 12 16 27 45 3,3
11 12 22 27 46 3,3
1 9 38 3,3
11 12 19 23 32 3,3
1 2 14 66 3,3
11 12 16 23 32 3,3
1 2 14 64 3,3
11 12 19 27 80 3,3
1 2 27 68 3,3
1 2 27 74 3,3
11 12 16 27 39 3,3
1 2 14 60 3,3
1 2 20 4 3,3
11 12 16 27 65 3,3
11 12 16 10 3,3
11 12 22 50 3,3
1 75 38 3,3
1 2 27 81 3,3
11 12 16 14 73 3,3
1 6 17 37 3,3
1 75 5 3,3
1 75 52 3,3
11 12 16 14 10 3,3
1 76 8 3,3
1 6 23 26 3,3
1 6 14 49 3,3
11 12 22 14 24 3,3
11 12 13 17 40 3,3
1 7 14 38 3,3
1 7 14 37 3,3
11 12 16 20 28 3,3
1 7 23 4 3,3
11 12 16 8 3,3
1 7 14 31 3,3
1 7 14 26 3,3
11 12 16 20 21 3,3
1 7 23 5 3,3
11 12 13 17 45 3,3
11 12 13 17 42 3,3
1 2 23 82 3,3
11 12 16 57 3,3
11 12 22 14 30 3,3
11 12 13 17 39 3,3
1 2 14 10 3,3
11 12 13 17 35 3,3
11 12 13 17 33 3,3
1 7 23 68 3,3
11 12 13 20 62 3,3
11 12 16 54 3,3
1 7 23 74 3,3
1 7 23 77 3,3
11 12 22 14 15 3,3
1 7 23 31 3,3
1 7 23 26 3,3
11 12 22,3
1 7 17 10 3,3
11 12 16 61 3,3
11 12 13 20 21 3,3
11 12 16 62 3,3
11 12 13 20 24 3,3
11 12 13 20 30 3,3
11 12 22 14 82 3,3
11 12 16 20 68 3,3
11 12 22 20 34 3,3
11 12 22 17 21 3,3
1 6 23 82 3,3
11 12 22 14 63 3,3
