case_id,trace
413,11 12 12 12 12 12 12 72
414,1 9 3
415,11 12 12 12 12 12 12 72
416,11 12 12 12 12 12 12 72
417,1 75 23 69 3
418,11 12 12 12 12 12 12 72
419,11 12 12 12 12 12 12 72
420,11 12 12 12 12 12 12 72
421,11 12 12 12 12 12 12 72
422,11 12 12 12 12 12 12 72
423,11 12 12 12 12 12 12 72
424,1 2 3
425,1 6 3
426,1 7 56 3
427,1 2 29 3
428,1 6 36 3
429,1 2 18 3
430,1 6 3
431,1 7 3
432,1 2 3
433,1 6 47 3
434,1 2 38 3
435,1 2 3
436,1 6 3
437,11 12 13 41 3
438,11 12 16 35 3
439,11 12 19 58 3
440,11 12 22 24 3
441,11 12 12 12 12 12 12 16 39 3
442,11 12 19 81 3
443,11 12 22 40 3
444,11 12 12 12 12 12 12 19 82 3
445,11 12 12 12 12 12 12 22 34 3
446,1 2 79 3
447,11 12 12 12 12 12 12 72
448,11 12 12 12 12 12 12 72
449,1 6 10 3
450,1 7 3
451,11 12 12 12 12 12 12 13 27 54 3
452,11 12 12 12 12 12 12 22 17 15 3
453,11 12 12 12 12 12 12 72
454,1 9 3
455,1 75 49 3
456,11 12 12 12 12 12 13 24 3
457,11 12 12 12 12 12 16 38 3
458,1 2 14 66 3
459,11 12 12 12 12 12 12 16 20 43 3
460,11 12 12 12 12 12 12 72
461,11 12 12 12 12 12 12 72
462,11 12 12 12 12 12 12 72
463,11 12 12 12 12 12 12 72
464,11 12 12 12 12 12 12 72
465,11 12 12 12 12 12 12 72
466,1 2 80 3
467,11 12 12 12 12 12 12 72
468,11 12 12 12 12 12 12 72
469,11 12 12 12 12 12 12 72
470,11 12 12 12 12 12 12 72
471,1 6 31 3
472,1 7 3
473,11 12 12 12 12 12 12 72
474,11 12 12 12 12 12 12 72
475,11 12 12 12 12 12 12 72
476,11 12 12 12 12 12 12 72
477,1 2 3
478,1 6 5 3
479,1 2 56 3
480,1 7 23 4 3
481,1 9 68 3
482,1 75 3
483,1 76 3
484,1 84 18 3
485,1 9 27 5 3
486,1 85 26 3
487,1 2 3
488,1 2 3
489,1 6 3
490,1 2 47 3
491,1 6 3
492,1 2 74 3
493,1 2 64 3
494,1 6 3
495,11 12 12 12 12 22 47 3
496,11 12 12 12 12 12 13 14 83 3
497,11 12 12 12 12 12 16 78 3
498,11 12 12 12 12 12 19 17 35 3
499,11 12 12 12 12 12 22 79 3
500,11 12 12 12 12 12 16 81 3
501,11 12 12 12 12 12 12 72
502,11 12 12 12 12 12 12 72
503,11 12 12 12 12 12 12 72
504,11 12 12 12 12 12 12 72
505,11 12 12 12 12 12 12 72
506,1 2 3
507,11 12 12 12 12 12 12 72
508,1 6 10 3
509,11 12 12 12 12 12 12 72
510,1 7 3
511,1 9 8 3
512,11 12 12 12 12 12 12 72
513,1 75 3
514,11 12 12 12 12 12 12 72
515,11 12 12 12 12 12 12 72
516,11 12 12 12 12 12 12 72
517,11 12 12 12 12 12 12 72
518,1 76 3
519,11 12 12 12 12 12 12 72
520,11 12 12 12 12 19 63 3
521,11 12 12 12 12 12 12 72
522,11 12 12 12 12 12 12 72
523,11 12 12 12 12 12 12 72
524,11 12 12 12 12 12 12 72
525,11 12 12 12 12 12 12 72
526,11 12 12 12 12 12 12 72
527,11 12 12 12 12 12 12 72
528,11 12 12 12 12 12 12 72
529,11 12 12 12 12 12 12 72
530,1 2 26 3
531,11 12 12 12 12 12 12 72
532,11 12 12 12 12 12 12 72
533,11 12 12 12 12 12 12 72
534,1 6 37 3
535,11 12 12 12 12 12 12 72
536,11 12 12 12 12 12 12 72
537,1 7 55 3
538,11 12 12 12 12 12 12 72
539,1 9 53 3
540,11 12 12 12 12 12 12 72
541,11 12 12 12 12 12 12 72
542,11 12 12 12 12 12 12 72
543,11 12 12 12 12 12 12 72
544,1 75 3
545,1 2 57 3
546,1 6 3
547,1 9 3
548,1 2 41 3
549,1 6 3
550,1 7 58 3
551,1 2 54 3
552,1 6 56 3
553,1 2 29 3
554,1 7 3
555,1 6 3
556,1 7 3
557,1 9 69 3
558,1 2 18 3
559,1 6 36 3
560,1 75 3
561,1 7 23 38 3
562,1 9 3
563,1 75 3
564,11 12 12 12 13 14 28 3
565,11 12 12 12 16 30 3
566,11 12 12 12 19 41 3
567,11 12 12 12 12 12 13 20 62 3
568,11 12 12 12 12 12 22 14 48 3
569,11 12 12 12 12 12 12 72
570,1 2 47 3
571,11 12 12 12 12 12 12 72
572,11 12 12 12 12 12 12 72
573,11 12 12 12 12 12 12 72
574,11 12 12 12 12 12 12 72
575,1 6 3
576,11 12 12 12 12 12 12 72
577,11 12 12 12 12 12 12 72
578,11 12 12 12 12 12 12 72
579,11 12 12 12 12 12 12 72
580,1 7 3
581,11 12 12 12 12 12 12 72
582,11 12 12 12 12 12 12 72
583,11 12 12 12 12 12 12 72
584,11 12 12 12 12 12 12 72
585,11 12 12 12 12 12 12 72
586,11 12 12 12 22 64 3
587,11 12 12 12 12 16 59 3
588,11 12 12 12 12 12 12 72
589,11 12 12 12 12 12 12 72
590,11 12 12 12 12 12 12 72
591,11 12 12 12 12 12 12 72
592,11 12 12 12 12 12 12 72
593,11 12 12 12 12 12 12 72
594,1 2 3
595,11 12 12 12 12 12 12 72
596,1 6 63 3
597,1 7 3
598,11 12 12 12 12 12 12 72
599,11 12 12 12 12 12 12 72
600,11 12 12 12 12 12 12 72
601,11 12 12 12 12 12 12 72
602,11 12 12 12 12 12 12 72
603,11 12 12 12 12 12 12 72
604,11 12 12 12 12 12 12 72
605,11 12 12 12 12 12 12 72
606,11 12 12 12 12 12 12 72
607,1 2 3
608,1 6 3
609,1 7 3
610,1 2 3
611,1 6 64 3
612,1 7 33 3
613,1 9 3
614,1 75 3
615,1 76 52 3
616,1 84 3
617,1 2 3
618,1 6 3
619,1 7 3
